
tvbus土星港澳
**JStar极限电影台,tvbus://6FPNBzRsYXHBDN6wicZW2dmNv4z7jZJdekBKaeTZbxFu63sSCSjYd6GZaCZBR 
翡翠,tvbus://6CYpcABuqf3RrsnjCwViX
翡翠台,p2p://livefccs.looktvb.com:16888/5f3fb7b60001626d0a90ed0dae12f9e4.ts
无线新闻,tvbus://5VGCBcmwQy56rSi1ZiKRm
无线新闻,p2p://livefccs.looktvb.com:16888/5f4cacd9000785f61e406d55e97e28e0.ts
明珠,tvbus://61V85DyYVcVZFMY2P5NRc
viutv,tvbus://5TRJtBkaYNHuAjqkYALaf
J2线路二,p2p://livefccs.looktvb.com:16888/5f4cacde000709361e4080bdd8e1bd6d.ts
j2,tvbus://6VBHJgmSsrmSDg1tvDKeV
无线财经线路二,p2p://livefccs.looktvb.com:16888/5f4cacd9000ea2cb1e406f277de02d28.ts
无线财经,tvbus://5abQ59biU9JmSDaVxDMGY
TVB星河,tvbus://5rYDDrFr8zHam7aFnp1Dz
RTHK32,tvbus://5KqYBRifjas1kDjSTncng
凤凰资讯,tvbus://6VtmWGXBWsZdttRWaZxjX
凤凰卫视,tvbus://6VcWe6ABdTke5PBvWQ9Bg
凤凰香港,tvbus://6BJwgLicQwMHssbeiMJNb
rthk31,tvbus://6LG8XinCKR8W9K7rNRrPb
奇妙电视,tvbus://6fsQou6zBDhugncdm41wh
有線體育,tvbus://5z5hyC2iiPvRwBZEVBs7U
有線18台,tvbus://5i3Bvmk3f1gLcJee7BoPV
有線財經,tvbus://63fvA6r71HaVvqPntBHZT
有線娛樂,tvbus://6HBjDrhcqo2RGExPNhuQf
電影第一,tvbus://6HHVQLYnbh2Bw8tfG3Nt9
澳門蓮花,tvbus://5VfJjmt3n4dTw16nE3SRr
有線體育2,tvbus://3VVyGVyQB7
有線新聞,tvbus://5KXsErRUrgRpRJU4sXpNh
香港衛視,tvbus://5rBYFYX33K8FhWNxBWVVF
高清603台,tvbus://6DkDGTWoByEnPdchfaKxM
娛樂新聞,tvbus://4bU194DZPq
有线新闻台线路二,p2p://livefccs.looktvb.com:16888/5f4cad4100086f031e4203d06b2cfcf0.ts
澳亞衛視,tvbus://82K91RKQeB
澳門衛視,tvbus://8BJBkC5TsY
NOW 新闻,tvbus://5z9iVBi34FWnh4bXn1obe
NOW直播,tvbus://5iq3WFP2ZZt4iXDCc7sod
澳視高清,tvbus://4d8TUmFr4V
土星台湾
愛爾達影劇台,tvbus://5PiEXTiszZht1CyoDx3ix
愛爾達綜合台,tvbus://5TZyPk4BU14TfGgyVjqjF
中視經典台,tvbus://5PwKTDayRaDGquk9CquiM
中視菁采台,tvbus://6edxsRpsnrGgn46ccQM5Z
CNN_國際,tvbus://6hXWXCdb87JurbTRCHk5j
民视,p2p://livefccs.looktvb.com:16888/5f3fb74c000f17db0a8f527f01927af8.ts
民視,tvbus://6GwMH4m2UbVfWAMzAs38f
Bloomberg_TV,tvbus://5ZWLDsAVxRa11Q7RLtDw4
台視,tvbus://6Uz6j3KQTSS5GjDTezuHH
台视,p2p://livefccs.looktvb.com:16888/5f3fb71e000ddc330a8e9e7fc4bee70f.ts
大愛電視,tvbus://6LBhU5bVWq8GLvbG5AyUx
中視,tvbus://6NwPWjgQKaW6Hcq9PPhaz
霹靂臺灣台,tvbus://5tbhpmB9A19vYgEerCRAK
華視,tvbus://5uupLdVx6j2ddXjJwMTC1
公視,tvbus://65FCDZWSMR4G6PQau23gb
好消息1,tvbus://6YiSzVwiq16zWXXvnKrCo
原民台,tvbus://6VRaErUmzKHUxGxS1c3J4
客家衛視,tvbus://6ET11DM8BSXWgDFLR6rvG
國家地理頻道,tvbus://6K4Hz43ew43P2xcNrqmZj
探索頻道,tvbus://5hRnim3vdD4FMR6B2WZck
TLC旅遊生活_HD,tvbus://6ZoepDKPgs2BA5dBFEdB4
動物星球,tvbus://6SPfmkT19m1ckp3MBcEhk
迪士尼,tvbus://5kZ8i4ftZm6b3DroFWmRP
卡通頻道,tvbus://6cCTwbYLkkx5vSHmZ1fTV
MOMO親子,tvbus://5X5Hd9WdA5SySjWsbASTc
東森幼幼,tvbus://6QCZY2EVkFP5ebQcSLx9B
緯來綜合,tvbus://5vv8ngW7EBMnpjCvuYFLb
八大第一_HD,tvbus://5cn9j1kJ9kuy7UYaPW6MP
八大綜合,tvbus://5L5N1QrvtKfN1R2rZVrXe
三立台灣_HD,tvbus://5bs16MgndrbAVgewPk3Fn
三立都會_HD,tvbus://5eQroiSHYbP571m8HFv6R
衛視中文_HD,tvbus://6b7sWQXkuKumRbpqkoGxk
東森綜合,tvbus://5Qrgum8xNNX2B7wtwBCTi
東森超視,tvbus://6UY92VSrRoTTi43hYRfCN
信吉电视,tvbus://6L2fCTYcrs5mczG5gBGvq
